name
矮杨梅冬青
矮灯心草
矮直瓣苣苔
矮糙苏
矮型黄耆
艾松早熟禾
矮尖瓣芹
矮簇补血草
矮菝葜
矮醋栗
安吉金竹
矮生柳叶菜
阿洼早熟禾
阿尔泰乳菀
昂头风毛菊
暗穗早熟禾
矮毛茛
矮芒毛苣苔
阿拉善沙拐枣
爱玉子（变种）
阿尔泰百里香
矮小沿阶草
阿坝蒿
矮小稻槎菜
矮莎草
凹萼木鳖
凹唇石仙桃
矮小耳草
凹裂毛麝香
凹苞耳叶马蓝
凹脉鹅掌柴
凹顶越桔
阿里黄精
凹裂毛麝香
安徽小檗
阿米芹
矮蝇子草
矮小沿沟草
矮毛蕨
矮山黧豆
矮小苓菊
阿克赛钦雪灵芝
暗紫脆蒴报春
阿里山鼠尾草
矮落芒草
矮生嵩草
矮生红景天
凹叶厚朴
安徽黄芩
阿尔泰扭藿香
矮刺苏
阿尔金山碱茅
矮小白珠
阿克陶齿缘草
矮韭
矮小天仙果 （原变种）
矮球穗扁莎
安格雀麦
矮丛光蒿
矮大戟
凹脉菝葜
安龙腺萼木
凹叶球兰（原变种）
阿尔金山早熟禾
矮丛薹草
矮小沿阶草
暗苞粉苞菊
阿里山繁缕
凹脉柃
矮虎耳草
阿尔泰独尾草
阿尔泰莴苣
矮蓼
矮优越虎耳草
暗紫鼠尾草
凹头苋
阿玉碎米荠
矮麻黄
埃氏马先蒿埃氏变种
阿萨姆鳞毛蕨
矮葶缺裂报春
阿尔泰野豌豆
暗红栒子
矮牡丹
矮天名精
凹叶女贞
矮小梅花草
阿墩子马先蒿
阿里山落新妇
阿扬蓼
矮小金星蕨
阿尔泰葶苈
安顺木姜子
矮黄栌
矮觿茅（变种）
矮生虎耳草
阿尔泰藜芦
凹脉杜茎山
阿赖山黄耆
矮生小檗
矮株龙葵
凹叶旌节花
阿里山龙胆
暗红紫晶报春
凹舌兰
矮青木
矮垂头菊
矮小秋海棠
矮桦
矮短叶水蜈蚣
暗果春蓼
矮野青茅（变种）
阿里山全唇兰
阿尔泰贝母
凹籽远志
凹脉苹婆
安龙油果樟
矮蓝刺头
阿拉套早熟禾
矮砂仁
矮华南远志
安龙石楠
矮生黄杨
矮葶苈
阿尔泰金莲花
暗鳞鳞毛蕨
矮阿尔泰葶苈
